"period","price"
2021-12-31,1828.6
2021-12-30,1814.1
2021-12-29,1805.8
2021-12-28,1810.9
2021-12-27,1808.8
2021-12-23,1811.7
2021-12-22,1802.2
2021-12-21,1788.7
2021-12-20,1794.6
2021-12-17,1804.9
2021-12-16,1798.2
2021-12-15,1764.5
2021-12-14,1772.3
2021-12-13,1788.3
2021-12-10,1784.8
2021-12-09,1776.7
2021-12-08,1785.5
2021-12-07,1784.7
2021-12-06,1779.5
2021-12-03,1783.9
2021-12-02,1762.7
2021-12-01,1784.3
2021-11-30,1776.5
2021-11-29,1785.2
2021-11-26,1788.1
2021-11-24,1786.9
2021-11-23,1786.3
2021-11-22,1809.1
2021-11-19,1854.3
2021-11-18,1864
2021-11-17,1872.8
2021-11-16,1854.1
2021-11-15,1866.6
2021-11-12,1868.5
2021-11-11,1863.9
2021-11-10,1848.3
2021-11-09,1830.8
2021-11-08,1828
2021-11-05,1816.8
2021-11-04,1793.5
2021-11-03,1763.9
2021-11-02,1789.4
2021-11-01,1795.8
2021-10-29,1783.9
2021-10-28,1802.6
2021-10-27,1798.8
2021-10-26,1793.4
2021-10-25,1806.8
2021-10-22,1796.3
2021-10-21,1781.9
2021-10-20,1784.9
2021-10-19,1770.5
2021-10-18,1765.7
2021-10-15,1768.3
2021-10-14,1797.9
2021-10-13,1794.7
2021-10-12,1759.3
2021-10-11,1755.7
2021-10-08,1757.4
2021-10-07,1759.2
2021-10-06,1761.8
2021-10-05,1760.9
2021-10-04,1767.6
2021-10-01,1758.4
2021-09-30,1757
2021-09-29,1722.9
2021-09-28,1737.5
2021-09-27,1752
2021-09-24,1751.7
2021-09-23,1749.8
2021-09-22,1778.8
2021-09-21,1778.2
2021-09-20,1763.8
2021-09-17,1751.4
2021-09-16,1756.7
2021-09-15,1794.8
2021-09-14,1807.1
2021-09-13,1794.4
2021-09-10,1792.1
2021-09-09,1800
2021-09-08,1793.5
2021-09-07,1798.5
2021-09-03,1833.7
2021-09-02,1811.5
2021-09-01,1816
2021-08-31,1818.1
2021-08-30,1812.2
2021-08-27,1819.5
2021-08-26,1795.2
2021-08-25,1791
2021-08-24,1808.5
2021-08-23,1806.3
2021-08-20,1784
2021-08-19,1783.1
2021-08-18,1784.4
2021-08-17,1787.8
2021-08-16,1789.8
2021-08-13,1778.2
2021-08-12,1751.8
2021-08-11,1753.3
2021-08-10,1731.7
2021-08-09,1726.5
2021-08-06,1763.1
2021-08-05,1808.9
2021-08-04,1814.5
2021-08-03,1814.1
2021-08-02,1822.2
2021-07-30,1817.2
2021-07-29,1835.8
2021-07-28,1804.6
2021-07-27,1804
2021-07-26,1803.4
2021-07-23,1805.9
2021-07-22,1809.2
2021-07-21,1807.4
2021-07-20,1811.4
2021-07-19,1809.2
2021-07-16,1815
2021-07-15,1829
2021-07-14,1825
2021-07-13,1809.9
2021-07-12,1805.9
2021-07-09,1810.6
2021-07-08,1800.2
2021-07-07,1802.1
2021-07-06,1794.2
2021-07-02,1783.3
2021-07-01,1776.8
2021-06-30,1771.6
2021-06-29,1763.6
2021-06-28,1780.7
2021-06-25,1777.8
2021-06-24,1776.7
2021-06-23,1783.4
2021-06-22,1777.4
2021-06-21,1782.9
2021-06-18,1769
2021-06-17,1774.8
2021-06-16,1861.4
2021-06-15,1856.4
2021-06-14,1865.9
2021-06-11,1879.6
2021-06-10,1896.4
2021-06-09,1895.5
2021-06-08,1894.4
2021-06-07,1898.8
2021-06-04,1892
2021-06-03,1873.3
2021-06-02,1909.9
2021-06-01,1905
2021-05-28,1905.3
2021-05-27,1898.5
2021-05-26,1903.8
2021-05-25,1900.5
2021-05-24,1886.7
2021-05-21,1878.9
2021-05-20,1883.9
2021-05-19,1881.5
2021-05-18,1868
2021-05-17,1867.6
2021-05-14,1838.1
2021-05-13,1824
2021-05-12,1822.8
2021-05-11,1836.1
2021-05-10,1837.6
2021-05-07,1831.3
2021-05-06,1815.7
2021-05-05,1784.3
2021-05-04,1776
2021-05-03,1791.8
2021-04-30,1767.7
2021-04-29,1768.3
2021-04-28,1773.9
2021-04-27,1778.8
2021-04-26,1780.1
2021-04-23,1777.8
2021-04-22,1782
2021-04-21,1793.1
2021-04-20,1778.4
2021-04-19,1770.6
2021-04-16,1780.2
2021-04-15,1766.8
2021-04-14,1736.3
2021-04-13,1747.6
2021-04-12,1732.7
2021-04-09,1744.8
2021-04-08,1758.2
2021-04-07,1741.6
2021-04-06,1743
2021-04-05,1728.8
2021-04-01,1728.4
2021-03-31,1715.6
2021-03-30,1686
2021-03-29,1714.6
2021-03-26,1734.7
2021-03-25,1727.3
2021-03-24,1735.5
2021-03-23,1727.5
2021-03-22,1740.4
2021-03-19,1743.9
2021-03-18,1734.6
2021-03-17,1727.1
2021-03-16,1730.9
2021-03-15,1729.2
2021-03-12,1719.8
2021-03-11,1722.6
2021-03-10,1721.8
2021-03-09,1716.9
2021-03-08,1678
2021-03-05,1698.5
2021-03-04,1700.7
2021-03-03,1715.8
2021-03-02,1733.6
2021-03-01,1723
2021-02-26,1728.8
2021-02-25,1775.4
2021-02-24,1797.9
2021-02-23,1805.9
2021-02-22,1808.4
2021-02-19,1777.4
2021-02-18,1775
2021-02-17,1772.8
2021-02-16,1799
2021-02-12,1823.2
2021-02-11,1826.8
2021-02-10,1842.7
2021-02-09,1837.5
2021-02-08,1834.2
2021-02-05,1813
2021-02-04,1791.2
2021-02-03,1835.1
2021-02-02,1833.4
2021-02-01,1863.9
2021-01-29,1850.3
2021-01-28,1841.2
2021-01-27,1848.9
2021-01-26,1854.8
2021-01-25,1859
2021-01-22,1859.9
2021-01-21,1869.3
2021-01-20,1870.2
2021-01-19,1840.2
2021-01-15,1829.9
2021-01-14,1851.4
2021-01-13,1854.9
2021-01-12,1844.2
2021-01-11,1850.8
2021-01-08,1835.4
2021-01-07,1913.6
2021-01-06,1908.6
2021-01-05,1954.4
2021-01-04,1946.6
2020-12-31,1895.1
2020-12-30,1893.4
2020-12-29,1882.9
2020-12-28,1880.4
2020-12-24,1883.2
2020-12-23,1878.1
2020-12-22,1870.3
2020-12-21,1882.8
2020-12-18,1888.9
2020-12-17,1890.4
2020-12-16,1859.1
2020-12-15,1855.3
2020-12-14,1832.1
2020-12-11,1843.6
2020-12-10,1837.4
2020-12-09,1838.5
2020-12-08,1874.9
2020-12-07,1866
2020-12-04,1840
2020-12-03,1841.1
2020-12-02,1830.2
2020-12-01,1818.9
2020-11-30,1780.9
2020-11-27,1788.1
2020-11-25,1811.2
2020-11-24,1810.9
2020-11-23,1844.1
2020-11-20,1872.4
2020-11-19,1861.5
2020-11-18,1873.9
2020-11-17,1885.1
2020-11-16,1887.8
2020-11-13,1886.2
2020-11-12,1873.3
2020-11-11,1861.6
2020-11-10,1876.4
2020-11-09,1854.4
2020-11-06,1951.7
2020-11-05,1946.8
2020-11-04,1896.2
2020-11-03,1910.4
2020-11-02,1892.5
2020-10-30,1879.9
2020-10-29,1868
2020-10-28,1879.2
2020-10-27,1911.9
2020-10-26,1905.7
2020-10-23,1905.2
2020-10-22,1904.6
2020-10-21,1929.5
2020-10-20,1915.4
2020-10-19,1911.7
2020-10-16,1906.4
2020-10-15,1908.9
2020-10-14,1907.3
2020-10-13,1894.6
2020-10-12,1928.9
2020-10-09,1926.2
2020-10-08,1895.1
2020-10-07,1890.8
2020-10-06,1908.8
2020-10-05,1920.1
2020-10-02,1907.6
2020-10-01,1916.3
2020-09-30,1895.5
2020-09-29,1903.2
2020-09-28,1882.3
2020-09-25,1866.3
2020-09-24,1876.9
2020-09-23,1868.4
2020-09-22,1907.6
2020-09-21,1910.6
2020-09-18,1962.1
2020-09-17,1949.9
2020-09-16,1970.5
2020-09-15,1966.2
2020-09-14,1963.7
2020-09-11,1947.9
2020-09-10,1964.3
2020-09-09,1954.9
2020-09-08,1943.2
2020-09-04,1934.3
2020-09-03,1937.8
2020-09-02,1944.7
2020-09-01,1978.9
2020-08-31,1978.6
2020-08-28,1974.9
2020-08-27,1932.6
2020-08-26,1952.5
2020-08-25,1923.1
2020-08-24,1939.2
2020-08-21,1947
2020-08-20,1946.5
2020-08-19,1970.3
2020-08-18,2013.1
2020-08-17,1998.7
2020-08-14,1949.8
2020-08-13,1970.4
2020-08-12,1949
2020-08-11,1946.3
2020-08-10,2039.7
2020-08-07,2028
2020-08-06,2069.4
2020-08-05,2049.3
2020-08-04,2021
2020-08-03,1986.3
2020-07-31,1985.9
2020-07-30,1966.8
2020-07-29,1976.7
2020-07-28,1963.9
2020-07-27,1955.4
2020-07-24,1897.5
2020-07-23,1890
2020-07-22,1865.1
2020-07-21,1843.9
2020-07-20,1817.4
2020-07-17,1810
2020-07-16,1800.3
2020-07-15,1813.8
